Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.663496,"18,998,513.61","12,605,456.11","146,066.34",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
LQ/ADA,0.3,77.217946,"127,203.08","9,822,360.62","656,227.95",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
WMT/ADA,0.3,0.684353,"9,308,642.6","6,370,406.48","248,887.70",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
PAVIA/ADA,0.3,0.102363,"12,207,261","1,249,573.77","179,789.53",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
XRAY/ADA,0.3,0.156838,"5,467,209","857,469.64","58,377.10",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
ADAX/ADA,0.3,0.331416,"2,515,530","833,688.73","62,554.98",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MELD/ADA,0.3,0.134637,"5,890,963.43","793,141.78","309,217.53",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
AADA/ADA,0.3,1.950506,"380,830.09","742,811.66","199,332.18",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
VYFI/ADA,0.3,1.685778,"318,250.2","536,499.35","86,336.70",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MILK/ADA,0.3,6.237643,"50,930","317,683.16","114,490.69",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
CLAP/ADA,0.3,0.038868,"5,266,147.44","204,686.09","37,140.49",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MINt/ADA,0.3,0.105155,"1,772,484.09","186,386.42","47,187.94",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
CHRLZ/ADA,0.3,0,"6,267,828,743,731","169,458.18",407.20,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
DANA/ADA,0.05,2.216697,"63,927.72","141,708.41","71,007.65",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
WMT/ADA,0.05,0.614993,"222,161.03","136,627.48",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
BISON/ADA,0.3,0,"93,169,034,876,641","109,959.06","1,426.15",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
ASHIB/ADA,1,0.000031,"3,244,417,717.09","101,340.06","3,955.75",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
FIRE/ADA,0.3,0.036021,"2,605,063","93,839.37","13,523.18",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MELD/ADA,1,0.230129,"313,228.27","72,082.97","1,323.38",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
HOSKY/ADA,0.3,0,"1,085,880,245,011","62,097.98","52,299.46",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MIN/ADA,0.3,0.338774,"150,220.59","50,890.91","57,666.51",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
FLICK/ADA,0.3,0.005023,"8,488,278","42,642.47",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
CNFT/ADA,0.3,0.00914,"4,600,931","42,055.89","23,603.09",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
cNETA/ADA,0.3,0.066091,"594,095","39,264.54","19,564.59",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
REVU/ADA,0.3,0.093577,"327,513.14","30,647.73",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
BDOGE/ADA,1,0.004543,"5,240,210","23,808.83",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MIN/ADA,0.05,0.350764,"66,343.59","23,270.99",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MINt/ADA,0.05,0.102697,"214,824.22","22,061.91","1,996.00",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
RAG/ADA,1,0.000731,"28,261,395","20,665.5",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
unsi…en/ADA,1,52.910536,372,"19,682.71","8,504.69",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
DRIP/ADA,1,0.002928,"6,234,134.24","18,255.03","11,014.66",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
GOKEY/ADA,0.3,0.01559,"1,168,777","18,221.5",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
SKULL/ADA,1,0.201811,"84,930","17,139.83","13,711.69",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
CDX/ADA,1,0.437264,"38,307","16,750.3","8,501.60",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
XDIA…ND/ADA,1,21.986488,698,"15,346.56",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
RAVE/ADA,1,0.004766,"2,919,465","13,915.15","22,946.67",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
CARGO/ADA,0.3,0.332752,"40,149.51","13,359.86","10,113.29",2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
DANA/ADA,0.3,2.188129,"5,648.72","12,360.13",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
cMETA/ADA,0.3,0.020679,"593,364","12,270.44",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
MONET/ADA,0.3,0.000757,"14,420,671.9","10,923.1",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
Card…rm/ADA,0.3,0.109152,"97,824","10,677.76",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
cbTHC/ADA,0.3,0.051217,"191,720.04","9,819.5",N/A,2022-02-09 22:32:17.023681,2022-02-09,22:32:17,1352
