Pair,PairPrice,Change24hs,ChangeType,AdaVolume24hs,MarketCapAda,DateTime
SUNDAE,0.72,2.93,+,"550,447","129,600,000",2022-02-18 06:16:08.532679
MILK,5.9,7.69,-,"179,663","29,500,000",2022-02-18 06:16:08.532679
$PAVIA,0.0965,12.16,+,"87,973","48,250,000",2022-02-18 06:16:08.532679
Liqwid,112.8,8.10,+,"59,848","41,172,000",2022-02-18 06:16:08.532679
MELD,0.13,4.26,-,"45,876","130,000,000",2022-02-18 06:16:08.532679
WMT,0.894,2.59,+,"40,740","203,706,516",2022-02-18 06:16:08.532679
AADA,2.06,3.26,-,"33,881","2,832,500",2022-02-18 06:16:08.532679
VYFI,1.595,29.41,-,"21,204","11,176,356",2022-02-18 06:16:08.532679
MIN,0.2925,12.19,-,"13,483","14,625,000",2022-02-18 06:16:08.532679
DANA,2.075,12.50,-,"13,056","12,903,906",2022-02-18 06:16:08.532679
$HOSKY,0.000000054,16.79,-,"8,471","54,000,000",2022-02-18 06:16:08.532679
RAD,0.00172,35.85,+,"6,591","154,800,000",2022-02-18 06:16:08.532679
DRIP,0.00295,-,=,"6,213","132,750,000",2022-02-18 06:16:08.532679
$cNETA,0.0884,16.59,-,"5,848","88,400,000",2022-02-18 06:16:08.532679
MINt,0.10945,-,=,"5,792","10,945,000",2022-02-18 06:16:08.532679
SNOW,6.8,8.78,-,"5,312","6,800,000",2022-02-18 06:16:08.532679
XRAY,0.15,-,=,"3,605","5,030,730",2022-02-18 06:16:08.532679
$RAVE,0.00552495,-,=,"3,585","5,524,950",2022-02-18 06:16:08.532679
$CNFT,0.01185,57.02,+,"1,778","1,635,468",2022-02-18 06:16:08.532679
CDX,0.44425,-,=,"1,655","13,327,500",2022-02-18 06:16:08.532679
DOEX,0.092149,-,=,"1,447","4,174,350",2022-02-18 06:16:08.532679
GT,0.02225,81.60,+,"1,434","467,250",2022-02-18 06:16:08.532679
SHIBADA,0.00002025,7.43,-,"1,311","1,077,831",2022-02-18 06:16:08.532679
REVU,0.114,-,=,"1,310","31,934,250",2022-02-18 06:16:08.532679
CLAP,0.0295,-,=,"1,116","6,268,750",2022-02-18 06:16:08.532679
GOKEY,0.01375,-,=,"1,000","61,875,000",2022-02-18 06:16:08.532679
FLICK,0.00635,9.72,-,887,"31,750,000",2022-02-18 06:16:08.532679
ADAX,0.364995,-,=,868,"36,499,500",2022-02-18 06:16:08.532679
YAY,0.0305,8.33,+,473,"3,050,000",2022-02-18 06:16:08.532679
ADAMOON,0.0001,150.00,+,462,"100,000",2022-02-18 06:16:08.532679
Dracards Fire,0.032,-,=,260,"776,000",2022-02-18 06:16:08.532679
BCG,0.91,-,=,223,"18,200",2022-02-18 06:16:08.532679
FIRE,0.00017,33.33,+,141,"85,000",2022-02-18 06:16:08.532679
BISON,0.00000000127,-,=,106,"1,270,000",2022-02-18 06:16:08.532679
LOBSTER,0.0000000023,2.04,+,99,"2,300,000",2022-02-18 06:16:08.532679
$BDOGE,0.0041,-,=,67,"410,000",2022-02-18 06:16:08.532679
KICK,0.0499495,3.60,+,66,"5,261,181",2022-02-18 06:16:08.532679
TREES,1.85,-,=,48,"1,850,000",2022-02-18 06:16:08.532679
$LEAF,0,-,=,25,0,2022-02-18 06:16:08.532679
spacecoins,0.00585,-,=,9,"301,741",2022-02-18 06:16:08.532679
cbTHC,0.04565,-,=,0,"19,173,000",2022-02-18 06:16:08.532679
Catjam,0.0000010575,-,=,0,"1,057,500",2022-02-18 06:16:08.532679
CDOG,0.0000175,-,=,0,"175,000",2022-02-18 06:16:08.532679
CUSDT,1.11,-,=,0,"16,483",2022-02-18 06:16:08.532679
