Pair,LpFee,PairPrice,TotalAssetLocked,TotalAdaLocked,AdaVolume24hs,DateTime,Date,Time,MinuteOfDay
SUNDAE/ADA,0.3,0.757372,"25,747,150.54","19,500,187.08","521,990.36",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
LQ/ADA,0.3,108.629768,"155,322.02","16,872,595.73","806,697.66",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
WMT/ADA,0.3,0.882738,"14,877,699.87","13,133,124.16","1,133,972.63",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MELD/ADA,0.3,0.129821,"11,994,751.1","1,557,176.54","381,751.80",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
PAVIA/ADA,0.3,0.086935,"12,246,255","1,064,628.89","439,521.10",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
XRAY/ADA,0.3,0.148544,"6,509,586","966,965.91","93,026.18",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
ADAX/ADA,0.3,0.370982,"2,420,799","898,073.04","35,433.07",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
AADA/ADA,0.3,2.193785,"400,407.4","878,407.89","636,682.29",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
VYFI/ADA,0.3,1.712319,"321,385.66","550,314.81","62,462.46",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MILK/ADA,0.3,6.395924,"52,572","336,246.52","106,395.92",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
CLAP/ADA,0.3,0.033331,"5,787,731.73","192,911.85","15,269.38",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MINt/ADA,0.3,0.102651,"1,736,715.59","178,276.96","59,537.57",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
DANA/ADA,0.05,2.250402,"70,702.82","159,109.82","87,389.93",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
CHRLZ/ADA,0.3,0,"6,821,336,170,991","154,776.05",357.71,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
SUNDAE/ADA,0.05,0.69329,"180,579.5","125,194.14",354.08,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
WMT/ADA,0.05,0.867273,"138,672.64","120,267.09","2,801.40",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
RAVE/ADA,1,0.004977,"22,587,728","112,425.76","5,633.33",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
ASHIB/ADA,1,0.00003,"3,494,179,474.77","105,635.8","4,812.82",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
BISON/ADA,0.3,0,"98,308,384,099,464","94,912.95","3,151.17",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
FIRE/ADA,0.3,0.033516,"2,698,392","90,440.23","4,872.11",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MIN/ADA,0.3,0.283269,"281,693.66","79,795.21","122,585.79",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
HOSKY/ADA,0.3,0,"1,039,532,540,827","65,613.87","25,390.21",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
FLICK/ADA,0.3,0.006319,"8,944,260","56,527.37","4,369.12",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
cNETA/ADA,0.3,0.090463,"528,640","47,822.48","4,996.31",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
CNFT/ADA,0.3,0.011913,"3,422,214","40,770.54","7,842.13",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
DRIP/ADA,1,0.002734,"12,735,387.33","34,827.37","8,027.18",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
REVU/ADA,0.3,0.109117,"298,339.54","32,554.04","11,274.23",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
unsi…en/ADA,1,42.240544,718,"30,328.71","4,555.91",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
BDOGE/ADA,1,0.005337,"5,657,663","30,199.17",264.78,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
QUID/ADA,0.3,0.017239,"1,670,781","28,803","2,178.64",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MELD/ADA,1,0.131209,"217,972.61","28,600.11",N/A,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MONET/ADA,0.3,0.00085,"33,503,680.34","28,508.89",N/A,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
RAG/ADA,1,0.000729,"28,266,486","20,617.5",N/A,2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
HOSKY/ADA,0.05,0,"295,416,214,166","19,790.78","1,355.23",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
XDIA…ND/ADA,1,26.519904,740,"19,624.72","1,788.66",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MINt/ADA,0.05,0.096065,"190,618.47","18,311.93","2,564.90",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
MIN/ADA,0.05,0.305036,"59,977.33","18,295.25","2,244.90",2022-02-17 05:45:39.253341,2022-02-17,05:45:39,345
